栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
586,481309_101554,125890330,44,4,193,32,-97
1918,481383_101502,125870872,5,1,431,45,-106
3297,481225_101649,125890330,57,352,3255,32,-81
2687,481357_101546,17854861,345,347,909,26,-90
541,481355_101510,125931787,64,11,183,29,-107
2583,481381_101509,17854861,63,350,781,26,-111
590,481381_101488,125870872,56,19,193,45,-90
1864,481362_101501,125870872,291,11,420,45,-104
1099,481352_101489,125890571,101,143,288,25,-120
1725,481300_101543,125890330,347,355,393,32,-82
1290,481369_101503,125890571,342,349,320,25,-113
1599,481383_101499,125870872,11,2,370,45,-96
3337,481425_101441,125890330,235,170,3707,32,-109
835,481359_101491,125890571,63,358,240,25,-109
707,481324_101533,125932299,278,28,216,25,-94
2740,481364_101548,125931787,354,351,1009,29,-77
1770,481386_101498,125870872,21,1,401,45,-105
2280,481370_101518,125890571,303,349,561,25,-95
1300,481326_101541,125932299,314,349,323,25,-105
995,481322_101534,125932299,278,18,268,25,-90
84,481334_101532,125932299,14,3,72,25,-86
1309,481303_101555,125890330,34,357,324,32,-103
654,481355_101507,17854861,84,48,205,26,-89
2492,481372_101522,125890571,301,349,669,25,-112
777,481357_101512,17854861,52,356,229,26,-105
2368,481306_101527,125890330,303,356,602,32,-101
1707,481364_101512,125931787,55,357,389,29,-101
3048,481371_101441,125931787,130,168,1833,29,-99
2606,481389_101510,125890571,337,346,812,25,-110
2853,481395_101489,125931787,84,3,1231,29,-79
1563,481337_101522,17854861,288,359,366,26,-117
1810,481364_101516,125931787,42,355,409,29,-96
2304,481371_101517,17854861,45,349,571,26,-113
853,481366_101501,125890571,349,350,243,25,-109
1067,481304_101546,125890330,353,357,281,32,-114
1837,481358_101524,125931787,9,354,414,29,-109
1509,481358_101521,125931787,16,354,357,29,-100
3224,481409_101394,125870872,128,173,2490,45,-95
1424,481359_101519,125931787,25,355,341,29,-95
305,481327_101531,125932299,272,79,135,25,-91
1597,481369_101492,125890571,26,349,370,25,-112
1750,481368_101489,125890571,36,349,398,25,-120
3291,481180_101546,125890330,8,351,3129,32,-99
43,481356_101498,125890571,66,43,56,25,-100
395,481370_101493,125870872,303,24,155,45,-119
1660,481372_101499,125890571,358,348,381,25,-104
711,481359_101492,125890571,61,358,217,25,-104
3100,481370_101437,125931787,132,168,1922,29,-106
720,481330_101538,125932299,327,350,219,25,-110
12,481355_101499,125890571,100,99,37,25,-108
2024,481362_101523,125931787,20,353,458,29,-100
2068,481353_101531,125932299,71,352,473,25,-116
2763,481417_101501,125870872,43,358,1073,45,-118
2542,481324_101502,125932299,182,161,720,25,-80
733,481326_101536,125932299,299,356,221,25,-97
748,481346_101502,17854861,156,158,224,26,-83
914,481325_101537,125932299,299,354,255,25,-98
1315,481368_101494,125890571,20,349,325,25,-110
773,481354_101491,125890571,93,112,229,25,-109
2907,481397_101484,17854861,88,19,1331,26,-109
3336,481177_101623,125890330,38,351,3691,32,-82
1688,481334_101545,125932299,350,346,387,25,-108
1644,481361_101519,17854861,29,350,379,26,-88
3169,481372_101596,125931787,346,350,2209,29,-79
420,481354_101510,125931787,65,15,160,29,-108
984,481367_101499,125890571,359,350,266,25,-109
2091,481332_101524,17854861,281,1,482,26,-93
3193,481419_101445,17854861,102,163,2337,26,-104
1420,481346_101524,125932299,96,134,341,25,-104
1449,481362_101509,17854861,66,356,345,26,-101
85,481318_101548,125890330,221,139,73,32,-107
476,481330_101536,125932299,323,353,172,25,-84
1654,481389_101490,125870872,51,5,380,45,-104
3164,481256_101533,17854861,254,163,2177,26,-87
615,481355_101514,17854861,37,355,198,26,-105
2780,481309_101568,125932299,312,344,1104,25,-96
2079,481361_101525,125931787,14,353,477,29,-107
1464,481363_101498,125870872,286,19,347,45,-126
1522,481371_101499,125890571,358,349,358,25,-93
524,481354_101493,125890571,95,118,180,25,-113
1681,481332_101545,125932299,342,346,386,25,-130
2895,481319_101556,125931787,297,352,1305,29,-91
3085,481421_101545,125931787,35,351,1906,29,-91
2590,481389_101507,125890571,342,346,792,25,-109
2369,481357_101476,125890571,81,0,602,25,-85
3017,481419_101527,17854861,48,347,1706,26,-104
804,481382_101484,125870872,80,48,234,45,-97
2883,481353_101577,125932299,8,344,1276,25,-101
2672,481369_101540,125931787,6,351,887,29,-114
712,481359_101508,125890571,289,5,217,25,-109
918,481342_101535,125932299,45,350,256,25,-98
1800,481298_101551,125890330,15,355,408,32,-110
2075,481376_101498,125890571,0,348,475,25,-102
303,481375_101483,125870872,123,143,134,45,-102
1732,481358_101523,17854861,11,349,394,26,-112
901,481358_101512,125931787,53,1,252,29,-104
2685,481385_101501,17854861,74,352,906,26,-92
1415,481358_101520,125931787,19,355,340,29,-95
2112,481368_101507,17854861,70,355,489,26,-116
1255,481365_101491,125890571,38,350,314,25,-113
3177,481285_101451,125932299,196,162,2255,25,-122
1872,481373_101495,125890571,11,348,422,25,-99
1302,481357_101520,125931787,16,355,323,29,-106
2287,481380_101499,125890571,357,347,565,25,-107
2164,481318_101545,125932299,301,348,512,25,-92
2809,481327_101470,125870872,219,172,1147,45,-106
2198,481365_101524,125931787,23,353,527,29,-109
2071,481376_101501,125890571,352,348,473,25,-104
527,481363_101498,125890571,10,353,180,25,-84
1275,481364_101490,125890571,44,351,318,25,-112
380,481362_101501,125890571,346,354,152,25,-90
3229,481392_101418,17854861,123,164,2544,26,-99
1696,481344_101541,125932299,30,347,388,25,-95
2162,481386_101504,125870872,8,0,511,45,-119
1580,481370_101506,125890571,332,349,366,25,-112
565,481353_101516,125931787,17,359,188,29,-86
2812,481411_101458,125870872,97,159,1153,45,-85
2818,481305_101536,125931787,271,50,1161,29,-114
807,481333_101539,125932299,347,349,236,25,-115
2824,481297_101496,125932299,212,161,1176,25,-76
1375,481302_101554,125890330,28,357,335,32,-97
684,481332_101538,125932299,340,350,211,25,-111
222,481332_101534,125932299,337,356,113,25,-77
1620,481358_101522,17854861,14,350,375,26,-101
2442,481374_101519,125890571,308,348,639,25,-99
1863,481361_101484,125890571,66,353,420,25,-108
2457,481354_101513,125932299,111,157,646,25,-94
704,481372_101496,125870872,324,9,214,45,-94
3116,481337_101433,125931787,157,169,1963,29,-93
198,481357_101496,125890571,62,14,108,25,-99
846,481366_101500,125890571,354,350,242,25,-113
1051,481383_101482,125870872,88,79,277,45,-112
2326,481372_101515,17854861,50,350,582,26,-112
1057,481338_101518,17854861,278,20,279,26,-94
3073,481382_101443,125931787,122,168,1879,29,-102
3131,481262_101527,17854861,251,163,2008,26,-83
1156,481360_101510,17854861,63,357,297,26,-99
387,481339_101531,125932299,61,2,154,25,-88
2904,481380_101435,125870872,142,172,1329,45,-111
